Fidelity;Gate Fidelity;Tipo;t1;t2;Nodi;Media iterazioni
1;1;Depolarise;0;0;3;1,00
1;1;Depolarise;0;0;5;1,00
1;1;Depolarise;0;0;7;1,00
0,9;0,9;Depolarise;0;0;3;1,70
0,9;0,9;Depolarise;0;0;5;1,23
0,9;0,9;Depolarise;0;0;7;1,23
0,8;0,8;Depolarise;0;0;3;3,00
0,8;0,8;Depolarise;0;0;5;2,23
0,8;0,8;Depolarise;0;0;7;1,93
0,65;0,65;Depolarise;0;0;3;3,60
0,65;0,65;Depolarise;0;0;5;2,30
0,65;0,65;Depolarise;0;0;7;1,67
0,5;0,5;Depolarise;0;0;3;4,43
0,5;0,5;Depolarise;0;0;5;3,13
0,5;0,5;Depolarise;0;0;7;2,20
1;1;Bitflip;0;0;3;1,00
1;1;Bitflip;0;0;5;1,00
1;1;Bitflip;0;0;7;1,00
0,9;0,9;Bitflip;0;0;3;1,93
0,9;0,9;Bitflip;0;0;5;1,33
0,9;0,9;Bitflip;0;0;7;1,50
0,8;0,8;Bitflip;0;0;3;3,87
0,8;0,8;Bitflip;0;0;5;2,45
0,8;0,8;Bitflip;0;0;7;1,73
0,8;1;Depolarise;0;0;3;1,23
0,8;1;Depolarise;0;0;5;1,00
0,8;1;Depolarise;0;0;7;1,00
1;0,8;Depolarise;0;0;3;1,70
1;0,8;Depolarise;0;0;5;1,73
1;0,8;Depolarise;0;0;7;1,67
0,9;0,9;Depolarise;62,3;23,4;3;3,43
0,9;0,9;Depolarise;62,3;23,4;5;2,34
0,9;0,9;Depolarise;62,3;23,4;7;1,80
0,9;0,9;Depolarise;3,00E+10;1,46E+09;3;1,70
0,9;0,9;Depolarise;3,00E+10;1,46E+09;5;1,63
0,9;0,9;Depolarise;3,00E+10;1,46E+09;7;1,30
0,8;1;Bitflip;0;0;3;1,60
0,8;1;Bitflip;0;0;5;1,23
0,8;1;Bitflip;0;0;7;1,30
1;0,8;Bitflip;0;0;3;1,80
1;0,8;Bitflip;0;0;5;1,80
1;0,8;Bitflip;0;0;7;1,67
